CODIGO,MET,CATEGORIA,ACTIVIDAD ESPECIFICA
01003,14.0,Ciclismo,"Ciclismo, de montaña, en ascenso, esfuerzo intenso"
01004,16.0,Ciclismo,"Ciclismo, de montaña, competitivo, carrera"
01008,8.5,Ciclismo,"Ciclismo, BMX"
01009,8.5,Ciclismo,"Ciclismo, de montaña, general"
01010,4.0,Ciclismo,"Ciclismo, <16 km/h, recreativo, al trabajo o por placer (CódigoTaylor 115)"
01011,6.8,Ciclismo,"Ciclismo, de/hacia el trabajo, a ritmo propio"
01013,5.8,Ciclismo,"Ciclismo, sobre camino de tierra o terreno agrícola, esfuerzo moderado"
01015,7.5,Ciclismo,"Ciclismo, general"
01018,3.5,Ciclismo,"Ciclismo, recreativo, 9 km/h"
01019,5.8,Ciclismo,"Ciclismo, recreativo, 15 km/h"
01020,6.8,Ciclismo,"Ciclismo, 16-19,2 km/h, recreativo, lento, esfuerzo ligero"
01030,8.0,Ciclismo,"Ciclismo, 19.3-22.4 km/h, recreativo, esfuerzo moderado"
01040,10.0,Ciclismo,"Ciclismo, 22.5-25.6 km/h, carrera o recreativo, rápido, esfuerzo intenso"
01050,12.0,Ciclismo,"Ciclismo, 25.7-30.6 km/h, carrera/sin ayuda aerodinámica, o > 30.6 km/h con ayuda aerodinámica, muy rápido, carrera en general"
01060,15.8,Ciclismo,"Ciclismo, >32.2 km/h, carrera, sin ayuda aerodinámica"
01065,8.5,Ciclismo,"Ciclismo, 19.3 km/h, sentado, manos sobre el manubrio o frenos, 80 rpm"
01066,9.0,Ciclismo,"Ciclismo, 19.3 km/h, parado, manos sobre los frenos, 60 rpm"
01070,5.0,Ciclismo,"Uso de monociclo"
02001,2.3,Acondicionamiento Físico,"Actividad física estimulada por el uso de video juegos (ej: Wii Fit), esfuerzo ligero (ej: equilibrio, yoga)"
02003,3.8,Acondicionamiento Físico,"Actividad física estimulada por el uso de video juegos (ej: Wii Fit), esfuerzo moderado (ej: aerobic, fuerza)"
02005,7.2,Acondicionamiento Físico,"Actividad física estimulada por el uso de video juegos (ej: Exergaming, Dance Dance Revolution), esfuerzo intenso"
02008,5.0,Acondicionamiento Físico,"Ejercicio con obstáculos de tipo militar, programa de entrenamiento militar de campo"
02010,7.0,Acondicionamiento Físico,"Ciclismo, bicicleta fija, general"
02011,3.5,Acondicionamiento Físico,"Ciclismo, bicicleta fija, 30-50 watts, esfuerzo muy ligero a ligero"
02012,6.8,Acondicionamiento Físico,"Ciclismo, bicicleta fija, 90-100 watts, esfuerzo moderado a intenso"
02013,8.8,Acondicionamiento Físico,"Ciclismo, bicicleta fija, 101-160 watts, esfuerzo intenso"
02014,11.0,Acondicionamiento Físico,"Ciclismo, bicicleta fija, 161-200 watts, esfuerzo intenso"
02015,14.0,Acondicionamiento Físico,"Ciclismo, bicicleta fija, 201-270 watts, esfuerzo muy intenso"
02017,4.8,Acondicionamiento Físico,"Ciclismo, bicicleta fija, 51-89 watts, esfuerzo ligero a moderado"
02019,8.5,Acondicionamiento Físico,"Ciclismo, bicicleta fija, RPM/Spinning"
02020,8.0,Acondicionamiento Físico,"Calistenia (ej: flexiones de brazos, abdominales, dominadas, jumping jacks), esfuerzo intenso"
02022,3.8,Acondicionamiento Físico,"Calistenia (ej: flexiones de brazos, abdominales, dominadas, estocadas), esfuerzo moderado"
02024,2.8,Acondicionamiento Físico,"Calistenia (ej: abdominales crunch, abdominales sit up) esfuerzo ligero"
02030,3.5,Acondicionamiento Físico,"Calistenia, esfuerzo ligero o moderado, general (ej: ejercicios para espalda), subir y bajar escaleras (Código Taylor 150)"
02035,4.3,Acondicionamiento Físico,"Entrenamiento en circuito, esfuerzo moderado"
02040,8.0,Acondicionamiento Físico,"Entrenamiento en circuito, con pesas Rusas (kettlebells), ejercicios aeróbicos con pausa breve, general, esfuerzo intenso"
02045,3.5,Acondicionamiento Físico,"Rutinas de entrenamiento CurvesTM para mujeres"
02048,5.0,Acondicionamiento Físico,"Entrenamiento en elíptico, esfuerzo moderado"
02050,6.0,Acondicionamiento Físico,"Entrenamiento de fuerza (levantamiento olímpico de pesas, pesos libres, máquinas), levantamiento de potencia, fisicoculturismo, esfuerzo intenso (Código Taylor 210)"
02052,5.0,Acondicionamiento Físico,"Entrenamiento de fuerza (con pesas), sentadillas, esfuerzo lento o explosivo"
02054,3.5,Acondicionamiento Físico,"Entrenamiento de fuerza (con pesas), ejercicios diversos, 8-15 repeticiones con resistencia variable"
02060,5.5,Acondicionamiento Físico,"Actividad física en centros de salud, general (Código Taylor 160)"
02061,5.0,Acondicionamiento Físico,"Actividad física en centros de salud, general, entrenamiento combinado gimnasia/pesas en una sesión"
02062,7.8,Acondicionamiento Físico,"Actividad física en centros de salud, clases de acondicionamiento físico"
02064,3.8,Acondicionamiento Físico,"Ejercicios en el hogar, general"
02065,9.0,Acondicionamiento Físico,"Ergómetro escalador, general"
02068,12.3,Acondicionamiento Físico,"Salto con soga, general"
02070,6.0,Acondicionamiento Físico,"Remo, fijo en ergómetro, general, esfuerzo intenso"
02071,4.8,Acondicionamiento Físico,"Remo, fijo, general, esfuerzo moderado"
02072,7.0,Acondicionamiento Físico,"Remo, fijo,100 watts, esfuerzo moderado"
02073,8.5,Acondicionamiento Físico,"Remo, fijo,150 watts, esfuerzo intenso"
02074,12.0,Acondicionamiento Físico,"Remo, fijo, 200 watts, esfuerzo muy intenso"
02080,6.8,Acondicionamiento Físico,"Máquina simuladora de ski, general"
02085,11.0,Acondicionamiento Físico,"Plataforma de deslizamiento lateral, general"
02090,6.0,Acondicionamiento Físico,"Gimnasia reductora/modeladora, baile con coreografía"
02101,2.3,Acondicionamiento Físico,"Estiramientos, suave"
02105,3.0,Acondicionamiento Físico,"Pilates, general"
02110,6.8,Acondicionamiento Físico,"Dictado de clases (ej: aerobic, natación)"
02112,2.8,Acondicionamiento Físico,"Ejercicios terapéuticos con pelota, fitball"
02115,2.8,Acondicionamiento Físico,"Ejercicios con miembros superiores, ergómetro de brazos"
02117,4.3,Acondicionamiento Físico,"Ejercicios con miembros superiores, bicicleta fija Airdyne a 40 rpm (brazos solamente), esfuerzo moderado"
02120,5.3,Acondicionamiento Físico,"Aquaerobic, calistenia en el agua, ejercicios acuáticos"
02135,1.3,Acondicionamiento Físico,"Uso de hidromasaje, sentado"
02140,2.3,Acondicionamiento Físico,"Ejercicios por video, programas de acondicionamiento por TV (ej: yoga, elongación), esfuerzo ligero"
02143,4.0,Acondicionamiento Físico,"Ejercicios por video, programas de acondicionamiento por TV (ej: fuerza-resistencia), esfuerzo moderado"
02146,6.0,Acondicionamiento Físico,"Ejercicios por video, programas de acondicionamiento por TV (ej: fuerza-resistencia), esfuerzo intenso"
02150,2.5,Acondicionamiento Físico,"Yoga, Hatha"
02160,4.0,Acondicionamiento Físico,"Yoga, power yoga"
02170,2.0,Acondicionamiento Físico,"Yoga, Nadi Sodhana"
02180,3.3,Acondicionamiento Físico,"Yoga, Surya Namaskar"
02200,5.3,Acondicionamiento Físico,"Ejercicios Neozelandeses (ej: Haka Powhiri, Moteatea, Waita Tira, Whakawatea), general, esfuerzo moderado"
02205,6.8,Acondicionamiento Físico,"Ejercicios Neozelandeses (ej: Haka, Taiahab), general, esfuerzo intenso"
03010,5.0,Danza/Baile,"Ballet, moderno o jazz, general, clases o ensayo"
03012,6.8,Danza/Baile,"Ballet, moderno o jazz, en presentación, esfuerzo intenso"
03014,4.8,Danza/Baile,Tap
03015,7.3,Danza/Baile,"Aerobic, general"
03016,7.5,Danza/Baile,"Aerobic, step (15-20 cm)"
03017,9.5,Danza/Baile,"Aerobic, step (25-30 cm)"
03018,5.5,Danza/Baile,"Aerobic, step (10 cm)"
03019,8.5,Danza/Baile,"Clases de step, general"
03020,5.0,Danza/Baile,"Aerobic, bajo impacto"
03021,7.3,Danza/Baile,"Aerobic, alto impacto"
